iter	Passed	Remaining
0	168	168673
1	172	85992
2	175	58401
3	179	44774
4	183	36555
5	187	31038
6	190	27065
7	195	24181
8	199	21996
9	202	20092
10	206	18536
11	210	17320
12	214	16254
13	217	15304
14	220	14490
15	224	13826
16	228	13201
17	231	12640
18	234	12127
19	238	11698
20	242	11310
21	245	10928
22	249	10594
23	253	10309
24	257	10043
25	261	9794
26	265	9554
27	270	9374
28	273	9155
29	276	8950
30	280	8782
31	286	8672
32	291	8534
33	295	8397
34	300	8285
35	304	8148
36	307	8013
37	312	7900
38	316	7796
39	320	7686
40	323	7574
41	328	7484
42	332	7391
43	335	7287
44	339	7198
45	343	7127
46	347	7038
47	351	6965
48	355	6903
49	359	6829
50	362	6748
51	366	6679
52	370	6615
53	374	6555
54	377	6489
55	381	6425
56	385	6374
57	389	6324
58	394	6284
59	397	6224
60	401	6188
61	405	6136
62	409	6090
63	412	6037
64	417	6006
65	421	5969
66	425	5924
67	429	5889
68	432	5838
69	435	5788
70	438	5733
71	440	5673
72	441	5611
73	444	5556
74	445	5499
75	447	5443
76	449	5385
77	450	5327
78	452	5271
79	453	5215
80	454	5160
81	456	5108
82	457	5050
83	459	5008
84	460	4961
85	462	4913
86	464	4871
87	465	4826
88	467	4781
89	468	4737
90	470	4696
91	471	4653
92	472	4609
93	474	4572
94	475	4530
95	476	4491
96	478	4451
97	479	4412
98	480	4374
99	481	4336
100	483	4300
101	484	4264
102	485	4228
103	486	4192
104	487	4159
105	489	4128
106	490	4095
107	492	4065
108	493	4032
109	494	3999
110	495	3967
111	496	3936
112	497	3907
113	498	3877
114	500	3848
115	501	3819
116	502	3788
117	503	3762
118	504	3737
119	506	3713
120	507	3685
121	508	3658
122	509	3632
123	510	3607
124	511	3582
125	512	3558
126	513	3531
127	514	3507
128	516	3484
129	517	3460
130	518	3439
131	519	3418
132	521	3396
133	522	3374
134	523	3352
135	524	3331
136	525	3311
137	526	3290
138	527	3270
139	529	3249
140	530	3229
141	530	3207
142	531	3187
143	533	3168
144	534	3149
145	535	3132
146	536	3113
147	537	3095
148	538	3077
149	540	3060
150	541	3043
151	542	3024
152	543	3007
153	544	2990
154	545	2973
155	546	2957
156	547	2941
157	549	2927
158	550	2911
159	551	2896
160	552	2878
161	553	2863
162	554	2847
163	555	2832
164	556	2817
165	557	2803
166	559	2788
167	560	2774
168	561	2760
169	562	2746
170	564	2735
171	565	2721
172	566	2708
173	567	2695
174	568	2681
175	569	2668
176	570	2654
177	572	2642
178	573	2629
179	574	2616
180	575	2603
181	576	2590
182	577	2579
183	579	2569
184	580	2557
185	581	2546
186	583	2535
187	584	2523
188	585	2511
189	586	2499
190	587	2488
191	588	2476
192	589	2465
193	590	2453
194	591	2442
195	593	2433
196	594	2423
197	595	2413
198	596	2402
199	598	2392
200	598	2381
201	599	2370
202	601	2359
203	602	2349
204	603	2339
205	604	2329
206	605	2319
207	606	2309
208	607	2300
209	609	2291
210	610	2281
211	611	2272
212	612	2262
213	613	2252
214	614	2243
215	615	2233
216	616	2224
217	617	2214
218	618	2205
219	619	2196
220	620	2187
221	621	2178
222	622	2170
223	624	2162
224	625	2153
225	626	2145
226	627	2136
227	628	2128
228	629	2119
229	630	2110
230	631	2102
231	632	2094
232	633	2086
233	634	2077
234	635	2070
235	636	2061
236	638	2054
237	639	2046
238	640	2038
239	641	2031
